Year,Month,Day,Federal Funds Target Rate,Federal Funds Upper Target,Federal Funds Lower Target,Effective Federal Funds Rate,Real GDP (Percent Change),Unemployment Rate,Inflation Rate,Date
2015,12,16,,0.5,0.25,,,,,2015-12-16
2016,1,1,,0.5,0.25,0.34,0.8,4.9,2.2,2016-01-01
2016,2,1,,0.5,0.25,0.38,,4.9,2.3,2016-02-01
2016,3,1,,0.5,0.25,0.36,,5.0,2.2,2016-03-01
2016,4,1,,0.5,0.25,0.37,1.4,5.0,2.1,2016-04-01
2016,5,1,,0.5,0.25,0.37,,4.7,2.2,2016-05-01
2016,6,1,,0.5,0.25,0.38,,4.9,2.2,2016-06-01
2016,7,1,,0.5,0.25,0.39,3.5,4.9,2.2,2016-07-01
2016,8,1,,0.5,0.25,0.4,,4.9,2.3,2016-08-01
2016,9,1,,0.5,0.25,0.4,,4.9,2.2,2016-09-01
2016,10,1,,0.5,0.25,0.4,1.9,4.8,2.1,2016-10-01
2016,11,1,,0.5,0.25,0.41,,4.6,2.1,2016-11-01
2016,12,1,,0.5,0.25,0.54,,4.7,2.2,2016-12-01
2016,12,14,,0.75,0.5,,,,,2016-12-14
2017,1,1,,0.75,0.5,0.65,,4.8,2.3,2017-01-01
2017,2,1,,0.75,0.5,0.66,,4.7,2.2,2017-02-01
2017,3,1,,0.75,0.5,,,,,2017-03-01
2017,3,16,,1.0,0.75,,,,,2017-03-16
